residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,dm_screened,78.7,77.7,79.7,Proportion,"78.7 (77.7, 79.7)",59354,,NA
Rural,dm_diagnosed,66.3,65.2,67.4,Proportion,"66.3 (65.2, 67.4)",59354,,NA
Urban,dm_screened,85.7,84.7,86.6,Proportion,"85.7 (84.7, 86.6)",33909,,NA
Urban,dm_diagnosed,72.5,71.2,73.7,Proportion,"72.5 (71.2, 73.7)",33909,,NA
Rural,dm_screened,80.2,78.9,81.4,Proportion,"80.2 (78.9, 81.4)",30411,sex,Female
Rural,dm_diagnosed,68.7,67.2,70.1,Proportion,"68.7 (67.2, 70.1)",30411,sex,Female
Rural,dm_screened,76.9,75.7,78.1,Proportion,"76.9 (75.7, 78.1)",28943,sex,Male
Rural,dm_diagnosed,63.4,61.9,64.8,Proportion,"63.4 (61.9, 64.8)",28943,sex,Male
Urban,dm_screened,87.4,86.2,88.7,Proportion,"87.4 (86.2, 88.7)",17717,sex,Female
Urban,dm_diagnosed,74.3,72.7,76,Proportion,"74.3 (72.7, 76)",17717,sex,Female
Urban,dm_screened,83.5,82.1,84.9,Proportion,"83.5 (82.1, 84.9)",16192,sex,Male
Urban,dm_diagnosed,70.2,68.6,71.9,Proportion,"70.2 (68.6, 71.9)",16192,sex,Male
Rural,dm_screened,76.2,74.6,77.8,Proportion,"76.2 (74.6, 77.8)",10619,age_category,18-39
Rural,dm_diagnosed,64,62.2,65.8,Proportion,"64 (62.2, 65.8)",10619,age_category,18-39
Rural,dm_screened,80.8,80.2,81.5,Proportion,"80.8 (80.2, 81.5)",34343,age_category,40-64
Rural,dm_diagnosed,67.9,67.1,68.7,Proportion,"67.9 (67.1, 68.7)",34343,age_category,40-64
Rural,dm_screened,85.7,84.9,86.5,Proportion,"85.7 (84.9, 86.5)",14392,age_category,65 plus
Rural,dm_diagnosed,74.2,73.2,75.3,Proportion,"74.2 (73.2, 75.3)",14392,age_category,65 plus
Urban,dm_screened,79,76.9,81.1,Proportion,"79 (76.9, 81.1)",5124,age_category,18-39
Urban,dm_diagnosed,65.2,62.7,67.8,Proportion,"65.2 (62.7, 67.8)",5124,age_category,18-39
Urban,dm_screened,89.4,88.7,90.1,Proportion,"89.4 (88.7, 90.1)",20398,age_category,40-64
Urban,dm_diagnosed,75.7,74.7,76.6,Proportion,"75.7 (74.7, 76.6)",20398,age_category,40-64
Urban,dm_screened,93.6,92.7,94.4,Proportion,"93.6 (92.7, 94.4)",8387,age_category,65 plus
Urban,dm_diagnosed,83.8,82.6,85,Proportion,"83.8 (82.6, 85)",8387,age_category,65 plus
Rural,dm_screened,84.6,82.8,86.5,Proportion,"84.6 (82.8, 86.5)",4727,education,Higher
Rural,dm_diagnosed,73.2,71,75.4,Proportion,"73.2 (71, 75.4)",4727,education,Higher
Rural,dm_screened,73.8,71.8,75.8,Proportion,"73.8 (71.8, 75.8)",21435,education,No education
Rural,dm_diagnosed,62.9,60.8,65,Proportion,"62.9 (60.8, 65)",21435,education,No education
Rural,dm_screened,78.7,76.8,80.6,Proportion,"78.7 (76.8, 80.6)",10767,education,Primary
Rural,dm_diagnosed,64.9,62.5,67.3,Proportion,"64.9 (62.5, 67.3)",10767,education,Primary
Rural,dm_screened,81.7,80.8,82.7,Proportion,"81.7 (80.8, 82.7)",22425,education,Secondary
Rural,dm_diagnosed,68.5,67.3,69.8,Proportion,"68.5 (67.3, 69.8)",22425,education,Secondary
Urban,dm_screened,89.1,87.7,90.4,Proportion,"89.1 (87.7, 90.4)",6463,education,Higher
Urban,dm_diagnosed,76.2,74.4,78,Proportion,"76.2 (74.4, 78)",6463,education,Higher
Urban,dm_screened,81.8,79.1,84.4,Proportion,"81.8 (79.1, 84.4)",6414,education,No education
Urban,dm_diagnosed,68.2,64.9,71.5,Proportion,"68.2 (64.9, 71.5)",6414,education,No education
Urban,dm_screened,83.4,80.4,86.4,Proportion,"83.4 (80.4, 86.4)",5211,education,Primary
Urban,dm_diagnosed,70.6,67.3,74,Proportion,"70.6 (67.3, 74)",5211,education,Primary
